id,weight,height
417,63,165
423,68,168
244,62,170
517,75,163
428,69,151
414,75,160
276,100.8,177.5
57,62,165
1,78,170
426,93,189
519,90,190
204,82,180
275,53,150
24,55,152
20,82,182
508,74.5,165
2,90,188
424,160,178
279,88,174
427,113,189
14,80,172
419,70,186
289,58,160
60,80,180
63,75,182
62,80,173
534,77,177
521,80,158
273,78,162.5
201,75,170
264,51,160
283,52,150
293,75.6,165
292,80,168
236,52,155.2
299,56.7,162.5
235,70,156
256,82,155
21,63,160
220,75,185.5
93,90,183
230,64,162.5
511,68,170
226,70,165
404,65,162.5
80,77,178
302,75,180
280,55,152.5
225,65,168
286,90,175
420,98,165
229,76,188
11,68,170
288,70,163
301,76,165
271,70,162.5
28,60,150
294,65,174
507,84,178
202,85,183
205,55,157.5
518,92,170
510,76,188
260,72.45,162.5
23,57,158
215,72,175
73,87,165
31,100,168
248,90,162.5
263,100,172
76,98,168
243,76,180
82,70,163
223,68,160
219,72,161
58,85,181
56,95,183
15,110,180
282,63,165
261,55,152.5
29,65,168
66,83,163
42,50,163
208,88,178
537,72,170
32,80,160
43,85,192
10,110,180
81,80,199
16,65,170
291,80,162.5
79,60,165
228,52,162
300,82,180
8,52,163
222,84,185
546,53,163
295,57,162
520,71,168
535,64,172
6,98,173
408,68,160
86,73,175
41,74,183
531,120,188
415,71,176
49,64,163
233,82,177.5
54,52,158
232,67,172
523,64,163
266,60.3,162.5
78,68,155
262,67,166
274,52,160
231,75,155
538,65,157
245,89,175
212,67,170
217,89,172
68,90,174
52,79,163
400,63,165
211,64,152.5
45,82,157
221,59,165
74,65,193
55,64,163
46,70,154
210,73,172.5
224,64,163
540,66,170
90,95,173
297,45,160
524,72,165
83,52,162
216,75,164.2
17,50,159
96,79,179
92,82,175
200,48,158
70,50,165
514,80,158
238,75,167.5
64,66,178
290,75,187
218,75,170
39,75,163
214,62,180
253,75,163
543,96,165
72,65,161
254,63,161
237,94,192.5
411,63,163
509,66,170
3,48,154
19,106,176
536,62,160
241,62,165
35,72,160
206,54,174
270,48,163
528,78,180
48,47,160
285,53,168
213,59,165
429,63,164
541,63,158
251,62,165
5,67,165
25,87,188
296,56,165
545,56,172
97,88,177
412,56,163
37,73,172
255,75,174
277,50,153
9,95,187
259,61,165
59,69,170
516,85,183
13,70,180
402,85,185
278,60,168
85,61,167
75,72,182
33,83,178
284,56.7,160
77,67,158
22,60,160
287,73,167.5
44,88,168
405,58,155
281,53,157
515,54,158
544,95,193
30,97,185
71,65,165
12,64,168.2
240,100,157.5
513,67,165
522,72,175
403,75,170
542,77,187
529,75,178
94,60,165
239,70,160
533,64,165
406,74,170
532,43,155
530,80,168
267,78.5,160
268,67,173
539,60,160
401,75,170
410,82,185
27,75,175
512,58,156
242,97,175
61,105,182
525,80,180
88,74,184
416,86,188
4,89,183
91,75,185
209,60,164
47,75,180
98,70,163
53,60,165
250,62,165
257,87,192
69,49,165
413,56,162
258,68,178
422,84,178
526,70,165
38,75,153
421,71,170
89,85,186
87,70,165
249,50,163
84,60,162
7,60,176
247,63,156
234,78,178
527,58,157
95,78,178
